incident_name,has_accounts,has_addresses,has_transactions,num_hacker_accounts,num_related_addresses,num_transactions,num_normal_tx,num_internal_tx,num_erc20_tx,num_erc721_tx,total_eth_value,unique_from_addresses,unique_to_addresses,unique_contracts,earliest_timestamp,latest_timestamp,year,month,amount_stolen,description,data_quality,has_complete_data,earliest_date,latest_date,activity_duration_days
THORChain,True,True,True,1,57,89,71,3,15,0,2128.473380402377,5,54,6,1626731813.0,1627145029.0,,,,,Low,True,2021-07-19 21:56:53,2021-07-24 16:43:49,4.78
Nexus_Mutual_1,True,True,True,1,21,88,47,6,35,0,10938.40537112511,12,14,5,1607941886.0,1621114491.0,,,,,Low,True,2020-12-14 10:31:26,2021-05-15 21:34:51,152.46
AnySwap_v3,True,True,True,1,20,81,59,5,17,0,4088.470420512399,10,13,7,1625947984.0,1667061815.0,,,,,Low,True,2021-07-10 20:13:04,2022-10-29 16:43:35,475.85
Coinrail,True,True,True,1,61,76,35,3,37,1,18086.597789552416,31,8,27,1528599557.0,1729159415.0,,,,,Low,True,2018-06-10 02:59:17,2024-10-17 10:03:35,2321.29
Bunny_Finance_1,True,True,True,1,10,74,61,0,13,0,33960.482096390006,5,7,1,1621464869.0,1738750811.0,,,,,Low,True,2021-05-19 22:54:29,2025-02-05 10:20:11,1357.48
SashimiSwap,True,True,True,1,30,72,39,10,23,0,7.099023705161794,9,27,8,1640841446.0,1646564944.0,,,,,Low,True,2021-12-30 05:17:26,2022-03-06 11:09:04,66.24
Visor_Finance,True,True,True,1,16,68,32,15,21,0,153.00001,9,9,5,1640095213.0,1667061923.0,,,,,Low,True,2021-12-21 14:00:13,2022-10-29 16:45:23,312.11
Bent_Finance,True,True,True,1,22,66,29,0,37,0,-6.565929490000813,9,17,9,1639103205.0,1640267133.0,,,,,Low,True,2021-12-10 02:26:45,2021-12-23 13:45:33,13.47
Punk_Protocol,True,True,True,1,24,64,46,5,13,0,973.3117718512219,10,12,8,1628549306.0,1740808451.0,,,,,Low,True,2021-08-09 22:48:26,2025-03-01 05:54:11,1299.3
MonoX_Finance_2,True,True,True,1,41,62,37,3,22,0,2248.151595401691,21,8,18,1638278871.0,1757207039.0,,,,,Low,True,2021-11-30 13:27:51,2025-09-07 01:03:59,1376.48
Uranium_Finance,True,True,True,1,30,62,50,0,12,0,4873.7743927942465,8,14,10,1619580981.0,1741387103.0,,,,,Low,True,2021-04-28 03:36:21,2025-03-07 22:38:23,1409.79
AnubisDAO_Liquidity_Rug_1,True,True,True,1,33,60,47,0,13,0,623.1958490955384,16,21,5,1635433758.0,1739679719.0,,,,,Low,True,2021-10-28 15:09:18,2025-02-16 04:21:59,1206.55
Bent_Finance_2,True,True,True,1,22,60,30,6,24,0,471.29406426876056,13,16,9,1639076187.0,1640267228.0,,,,,Low,True,2021-12-09 18:56:27,2021-12-23 13:47:08,13.79
CashioApp,True,True,True,1,28,59,47,6,6,0,16238.19873601085,22,8,3,1647596597.0,1671159515.0,,,,,Low,True,2022-03-18 09:43:17,2022-12-16 02:58:35,272.72
Harvest.Finance__1,True,True,True,1,13,59,37,18,4,0,111.16674844251591,6,5,4,1603669293.0,1735188119.0,,,,,Low,True,2020-10-25 23:41:33,2024-12-26 04:41:59,1522.21
AscendEX_2,True,True,True,1,28,58,42,0,16,0,8465.272552883858,20,11,2,1640088896.0,1661921626.0,,,,,Low,True,2021-12-21 12:14:56,2022-08-31 04:53:46,252.69
Etherwrapped_Rug_Pull,True,True,True,1,15,56,35,7,14,0,-9.218062586147294,6,11,2,1640912399.0,1641004264.0,,,,,Low,True,2021-12-31 00:59:59,2022-01-01 02:31:04,1.06
AFKSystem,True,True,True,1,16,54,46,4,4,0,3223.8709171566748,10,5,3,1625724628.0,1695689567.0,,,,,Low,True,2021-07-08 06:10:28,2023-09-26 00:52:47,809.78
NowSwap,True,True,True,1,19,54,37,6,11,0,316.64723529,13,13,6,1631632569.0,1667061635.0,,,,,Low,True,2021-09-14 15:16:09,2022-10-29 16:40:35,410.06
bZx_PrivKey_5,True,True,True,1,15,52,41,0,11,0,18631.80382099406,10,9,5,1636120761.0,1644370258.0,,,,,Low,True,2021-11-05 13:59:21,2022-02-09 01:30:58,95.48
0xhabitat.eth_Multisig_Drainer,True,True,True,1,12,48,29,7,12,0,1.7047157978225171,7,11,4,1638155159.0,1638371814.0,,,,,Low,True,2021-11-29 03:05:59,2021-12-01 15:16:54,2.51
Cryptopia_2,True,True,True,1,41,45,27,0,17,1,61579.46444155169,25,3,14,1547390240.0,1571717817.0,,,,,Low,True,2019-01-13 14:37:20,2019-10-22 04:16:57,281.57
Akropolis_1,True,True,True,1,14,38,31,2,5,0,-6.798265603303114,9,4,4,1605176317.0,1714568063.0,,,,,Low,True,2020-11-12 10:18:37,2024-05-01 12:54:23,1266.11
Pancake_Hunny,True,True,True,1,12,37,22,5,10,0,599.4889777255935,7,7,3,1634720127.0,1667061731.0,,,,,Low,True,2021-10-20 08:55:27,2022-10-29 16:42:11,374.32
SaturnbeamFi_Rug_Pull,True,True,True,1,21,35,22,0,13,0,76.02243000000001,10,12,8,1633838537.0,1756598639.0,,,,,Low,True,2021-10-10 04:02:17,2025-08-31 00:03:59,1420.83
Brinc_Finance,True,True,True,1,17,33,23,1,9,0,290.701337,9,11,5,1639447368.0,1695444503.0,,,,,Low,True,2021-12-14 02:02:48,2023-09-23 04:48:23,648.11
Float_Protocol_Fuse,True,True,True,1,12,33,22,7,4,0,429.0,8,3,4,1642194357.0,1756518731.0,,,,,Low,True,2022-01-14 21:05:57,2025-08-30 01:52:11,1323.2
AnubisDAO_Liquidity_Rug_3,True,True,True,1,29,31,17,0,13,1,0.036621908976934,17,8,6,1635513748.0,1695486335.0,,,,,Low,True,2021-10-29 13:22:28,2023-09-23 16:25:35,694.13
VesperFi_Rari_Fuse_Pool,True,True,True,1,12,30,26,3,1,0,821.2449595877414,5,8,1,1635757276.0,1667061695.0,,,,,Low,True,2021-11-01 09:01:16,2022-10-29 16:41:35,362.32
Force_Vault_2,True,True,True,1,11,29,17,2,10,0,-7.081333368547758,7,8,4,1617127596.0,1667061803.0,,,,,Low,True,2021-03-30 18:06:36,2022-10-29 16:43:23,577.94
ChainPort_1,True,True,True,1,11,27,12,5,10,0,494.65640533018563,4,9,5,1626893255.0,1626894094.0,,,,,Low,True,2021-07-21 18:47:35,2021-07-21 19:01:34,0.01
AnubisDAO_Liquidity_Rug_2,True,True,True,1,18,27,17,0,10,0,-8.792513111182867,9,11,4,1635508178.0,1741506119.0,,,,,Low,True,2021-10-29 11:49:38,2025-03-09 07:41:59,1226.83
Malicious_Actor_(Exploit_Abuser)_2,True,True,True,1,44,26,2,0,24,0,0.6628761384031959,21,2,23,1639457275.0,1757614151.0,,,,,Low,True,2021-12-14 04:47:55,2025-09-11 18:09:11,1367.56
Warp.Finance,True,True,True,1,12,26,23,2,1,0,1462.8208468802384,7,7,1,1607913753.0,1610797825.0,,,,,Low,True,2020-12-14 02:42:33,2021-01-16 11:50:25,33.38
Siren_Protocol_4,True,True,True,1,12,25,12,0,13,0,1.885,6,7,3,1630632969.0,1633476563.0,,,,,Low,True,2021-09-03 01:36:09,2021-10-05 23:29:23,32.91
SpankChain,True,True,True,1,9,23,16,7,0,0,184.31329655603145,5,6,0,1538514466.0,1540253623.0,,,,,Low,True,2018-10-02 21:07:46,2018-10-23 00:13:43,20.13
Vesper_Finance_VUSD,True,True,True,1,14,22,16,2,4,0,271.0,7,4,4,1640769518.0,1757122379.0,,,,,Low,True,2021-12-29 09:18:38,2025-09-06 01:32:59,1346.68
Bancor,True,True,True,1,38,22,3,0,19,0,51067.22823751679,19,2,18,1533974291.0,1644031173.0,,,,,Low,True,2018-08-11 07:58:11,2022-02-05 03:19:33,1273.81
THORChain_1,True,True,True,1,11,21,9,5,7,0,3.1058422005808968,5,7,3,1626343701.0,1667061947.0,,,,,Low,True,2021-07-15 10:08:21,2022-10-29 16:45:47,471.28
Impossible_Finance,True,True,True,1,15,15,8,1,6,0,717.9498947964,8,4,6,1621620610.0,1757207123.0,,,,,Low,True,2021-05-21 18:10:10,2025-09-07 01:05:23,1569.29
DAOMaker_2,True,True,True,1,11,15,10,1,4,0,5986.457543252687,7,5,3,1628738432.0,1667061611.0,,,,,Low,True,2021-08-12 03:20:32,2022-10-29 16:40:11,443.56
Bitpoint_2,True,True,True,1,21,14,5,0,8,1,26055.589617268375,11,2,9,1562979390.0,1573409510.0,,,,,Low,True,2019-07-13 00:56:30,2019-11-10 18:11:50,120.72
ChainPort_3,True,True,True,1,6,14,9,3,2,0,0.6848442166169408,5,6,1,1615441198.0,1626893368.0,,,,,Low,True,2021-03-11 05:39:58,2021-07-21 18:49:28,132.55
Wault_Finance,True,True,True,1,16,13,5,1,7,0,371.0429620068982,9,2,7,1628040307.0,1756510331.0,,,,,Low,True,2021-08-04 01:25:07,2025-08-29 23:32:11,1486.92
Siren_Protocol_3,True,True,True,1,10,12,8,2,2,0,228.04,5,6,1,1630625384.0,1633476725.0,,,,,Low,True,2021-09-02 23:29:44,2021-10-05 23:32:05,33.0
Miso_Front_End,True,True,True,1,12,10,5,1,4,0,865.3946138122401,8,2,4,1630520693.0,1632013147.0,,,,,Low,True,2021-09-01 18:24:53,2021-09-19 00:59:07,17.27
Siren_Protocol_1,True,True,True,1,10,10,6,1,3,0,250.22,6,5,2,1630625277.0,1633477343.0,,,,,Low,True,2021-09-02 23:27:57,2021-10-05 23:42:23,33.01
Bent_Finance_3,True,True,True,1,8,9,5,0,4,0,1.94,3,7,2,1639419335.0,1640267351.0,,,,,Minimal,True,2021-12-13 18:15:35,2021-12-23 13:49:11,9.82
Siren_Protocol_2,True,True,True,1,9,9,6,1,2,0,250.15,5,5,1,1630625524.0,1633476913.0,,,,,Minimal,True,2021-09-02 23:32:04,2021-10-05 23:35:13,33.0
ChainPort,True,True,True,1,11,8,1,0,7,0,494.6262969021856,5,1,6,1626894094.0,1757120147.0,,,,,Minimal,True,2021-07-21 19:01:34,2025-09-06 00:55:47,1507.25
Liquid_Exchange_2,True,True,True,1,9,7,5,0,2,0,1076.5473163985914,6,2,2,1629335676.0,1744464563.0,,,,,Minimal,True,2021-08-19 01:14:36,2025-04-12 13:29:23,1332.51
bZx_PrivKey_6,True,True,True,1,6,7,2,2,3,0,0.03705651139236417,3,4,1,1636123517.0,1647408698.0,,,,,Minimal,True,2021-11-05 14:45:17,2022-03-16 05:31:38,130.62
RUNE_Token,True,True,True,1,7,6,6,0,0,0,70.997585,2,6,0,1627058360.0,1627409125.0,,,,,Minimal,True,2021-07-23 16:39:20,2021-07-27 18:05:25,4.06
MonoX_Finance,True,True,True,1,5,5,4,1,0,0,0.27129300169081505,2,4,0,1637507045.0,1638336363.0,,,,,Minimal,True,2021-11-21 15:04:05,2021-12-01 05:26:03,9.6
bZx_PrivKey_2,True,True,True,1,5,4,3,1,0,0,0.9518582597282059,2,4,0,1636095314.0,1636784980.0,,,,,Minimal,True,2021-11-05 06:55:14,2021-11-13 06:29:40,7.98
Popsicle_Swap_(_Deployer),True,True,True,1,6,4,2,1,1,0,-8.643031158709551,3,2,1,1628019801.0,1667061563.0,,,,,Minimal,True,2021-08-03 19:43:21,2022-10-29 16:39:23,451.87
ChainPort_4,True,True,True,1,2,3,2,1,0,0,0.0,2,2,0,1626891736.0,1626893260.0,,,,,Minimal,True,2021-07-21 18:22:16,2021-07-21 18:47:40,0.02
ChainPort_2,True,True,True,1,2,3,2,1,0,0,0.0,2,2,0,1626891695.0,1626893368.0,,,,,Minimal,True,2021-07-21 18:21:35,2021-07-21 18:49:28,0.02
Gatecoin_3,True,True,True,1,3,2,2,0,0,0,9999.99937,2,2,0,1463066612.0,1463066794.0,,,,,Minimal,True,2016-05-12 15:23:32,2016-05-12 15:26:34,0.0
DeFiGeek_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,4.0,2.3,DeFiGeek Community Pool Exploit,No Transactions,False,,,
bZx_PrivKey_4,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,,,,,No Transactions,False,,,
Deus_Finance_2022,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2022.0,3.0,3.0,Deus Finance Flash Loan Attack,No Transactions,False,,,
Dexible_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,2.0,2.0,Dexible Self-Destruct Exploit,No Transactions,False,,,
FixedFloat_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,2.0,26.1,FixedFloat Exchange Hack,No Transactions,False,,,
Alphapo_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,7.0,60.0,Alphapo Hot Wallet Breach,No Transactions,False,,,
Wintermute_2022,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2022.0,9.0,160.0,Wintermute Hot Wallet Compromise,No Transactions,False,,,
Mixin_Network_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,9.0,200.0,Mixin Network Database Breach,No Transactions,False,,,
Shido_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,4.0,3.3,Shido Token Sale Exploit,No Transactions,False,,,
Unizen_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,8.0,2.1,Unizen Smart Contract Exploit,No Transactions,False,,,
Stake_com_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,9.0,41.0,Stake.com Hot Wallet Hack,No Transactions,False,,,
Bitmart_December_2022,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2022.0,12.0,196.0,Bitmart Hot Wallet Breach,No Transactions,False,,,
BingX_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,9.0,52.0,BingX Hot Wallet Compromise,No Transactions,False,,,
Munchables_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,3.0,62.0,Munchables Private Key Leak,No Transactions,False,,,
Meter_IO_2022,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2022.0,2.0,4.4,Meter.io Bridge Hack,No Transactions,False,,,
BonqDAO_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,2.0,120.0,BonqDAO Oracle Manipulation,No Transactions,False,,,
Penpie_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,9.0,27.0,Penpie Reentrancy Attack,No Transactions,False,,,
Platypus_Finance_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,2.0,8.5,Platypus Finance Flash Loan Attack,No Transactions,False,,,
DMM_Bitcoin_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,5.0,305.0,DMM Bitcoin Exchange Hack,No Transactions,False,,,
Poloniex_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,11.0,126.0,Poloniex Hot Wallet Compromise,No Transactions,False,,,
BtcTurk_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,6.0,55.0,BtcTurk Hot Wallet Breach,No Transactions,False,,,
Jimbos_Protocol_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,5.0,7.5,Jimbos Protocol Liquidity Attack,No Transactions,False,,,
Prisma_Finance_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,3.0,11.6,Prisma Finance Access Control Exploit,No Transactions,False,,,
Hundred_Finance_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,4.0,7.4,Hundred Finance Price Manipulation,No Transactions,False,,,
Radiant_Capital_October_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,10.0,50.0,Radiant Capital Multi-Sig Compromise,No Transactions,False,,,
Hope_Finance_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,2.0,1.86,Hope Finance Reentrancy Attack,No Transactions,False,,,
Atomic_Wallet_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,6.0,100.0,Atomic Wallet Mass Compromise,No Transactions,False,,,
Heco_Bridge_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,11.0,86.6,Heco Bridge Exploit,No Transactions,False,,,
Saddle_Finance_2022,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2022.0,4.0,10.0,Saddle Finance Exploit,No Transactions,False,,,
Seneca_Protocol_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,2.0,6.4,Seneca Protocol Exploit,No Transactions,False,,,
PlayDapp_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,2.0,290.0,PlayDapp Private Key Compromise,No Transactions,False,,,
